"Commercers Inventory management","Commercers Warenwirtschaft"
"Date of transaction","Datum der Transaktion"
"Type of transaction","Transaktionsart"
"Sale","Verkauf"
"Sales","Verkäufe"
"Orders","Bestellungen"
"Receiving","Wareneingang"
"Stock taking","Inventurbuchung"
"Credit memo","Gutschrift"
"Credit memos","Gutschriften"
"Rate of credit memos","Gutschrifts-Quote"
"Rate of cancellations","Stornierungs-Quote"
"Cancellations","Stornierungen"
"Cancellation","Stornierung"
"Correction","Korrekturbuchung"
"Adjusting entry","Korrekturbuchung"
"Transaction reference","Transaktionsreferenz"
"Current stock","Aktueller Bestand"
"Difference","Differenz"
"Inventory management","Warenwirtschaft"
"Successfully saved","Erfolgreich gespeichert"
"Minutes","Minute"
"<span class='notice'>'x'</span> minutes after every full hour<br><span class='notice'>'*/x'</span> every x minutes<br><span class='notice'>'*'</span> every minute<br><span class='notice'>'x,y'</span> after x and after y minutes after every full hour<br><span class='notice'>'x-y'</span> every minute between x and y after every full hour","<span class='notice'>'x'</span> Minuten nach jeder vollen Stunde<br><span class='notice'>'*/x'</span> Alle x Minuten<br><span class='notice'>'*'</span> Jede Minute<br><span class='notice'>'x,y'</span> Nach x und nach y Minuten nach jeder vollen Stunde<br><span class='notice'>'x-y'</span> Jede Minute von x bis y nach jeder vollen Stunde"
"Hour","Stunde"
"<span class='notice'>'x'</span> hour of the day<br><span class='notice'>'*/x'</span> every x hours<br><span class='notice'>'*'</span> every hour<br><span class='notice'>'x,y'</span> x-th and y-th hour of the day<br><span class='notice'>'x-y'</span> every hour between x and y of the day","<span class='notice'>'x'</span> Stunde des Tages<br><span class='notice'>'*/x'</span> Alle x Stunden<br><span class='notice'>'*'</span> Jede Stunde<br><span class='notice'>'x,y'</span> x-te und y-te Stunde des Tages<br><span class='notice'>'x-y'</span> Jede Stunde von x bis y eines Tages"
"Day","Tag"
"<span class='notice'>'x'</span> day of the month<br><span class='notice'>'*/x'</span> every x days<br><span class='notice'>'*'</span> every day<br><span class='notice'>'x,y'</span> x-th and y-th day of the month<br><span class='notice'>'x-y'</span> every day between x and y of the month","<span class='notice'>'x'</span> Tag des Monats<br><span class='notice'>'*/x'</span> Alle x Tage<br><span class='notice'>'*'</span> Jeden Tag<br><span class='notice'>'x,y'</span> x-ter und y-ter Tag des Monats<br><span class='notice'>'x-y'</span> Jeden Tag von x bis y eines Monats"
"Month","Monat"
"<span class='notice'>'*'</span> every month<br>further opions analog to days","<span class='notice'>'*'</span> Jeden Monat<br>Sonstige Optionen analog zu Tagen"
"Day of the week","Wochentag"
"<span class='notice'>0 and 7</span> equals sunday<br><span class='notice'>1</span> equals monday, <span class='notice'>2</span> equals tuesday, ...<br>further options analog to days","<span class='notice'>0 und 7</span> entspricht Sonntag<br><span class='notice'>1</span> entspricht Montag, <span class='notice'>2</span> entspricht Dienstag, ...<br>Sonstige Optionen analog zu Tagen"
"Run now","Jetzt ausführen"
"Commercers Inventory Management Update Log","Commercers Inventory Management Aktualisierungsübersicht"
"Date, time","Datum, Uhrzeit"
"Execution","Ausführung"
"finished","beendet"
"Status","Status"
"'x' minutes after every full hour <br>It can contain HTML formatting too!","test<br>test"
"Transaction reference","Transaktionsreferenz"
"Type","Typ"
"Ran '%s' (Duration: %s sec)","'%s' wurde ausgeführt (Dauer: %s sec)"
"'%s' messages:<pre>%s</pre>","'%s' Weitere Informationen:<pre>%s</pre>"
"Error while running '%s'","Bei Ausführung von '%s' ist ein Fehler aufgetreten."
"Collection of Transactions executed.","Aktualisierung der Transaktionen ausgeführt."
"More Information in Pro Version","Mehr Informationen in der Pro Version"
"Inventory management / statistics","Warenwirtschaft / Statistik"
"Since","Seit"
"Update Log","Aktualisierungsübersicht"
"Inventory management cronjob","Warenwirtschaft Cron Job Einstellungen"
"Stock","Aktueller Bestand"

